sentence	target	target_zhuyin	target_braille	target_pos
凡事三思而後行，不可暴躁。	行	ㄒㄧㄥˊ	⠑⠽⠂	6
一掃以往台語歌曲悲調、鄉愁的訴求。	調	ㄉㄧㄠˋ	⠙⠪⠐	9
他不做不正當的事情，所以用不著說假話。	假	ㄐㄧㄚˇ	⠅⠾⠈	16
我們的圖書室，附設在本班的教室裡。	教	ㄐㄧㄠˋ	⠅⠪⠐	13
海浪得意洋洋的把我們堆成的城堡淹沒了。	沒	ㄇㄛˋ	⠍⠣⠐	16
要名有名，要利有利，你有什麼好苦惱呢？	好	ㄏㄠˇ	⠗⠩⠈	14
我喜歡溫柔而帶種的男人。	種	ㄓㄨㄥˇ	⠁⠯⠈	7
記得這兩次戰役相隔五年，他仍舊是團長。	長	ㄓㄤˇ	⠁⠭⠈	17
沒有鍵盤我照樣可以用電腦，你行嗎？	行	ㄒㄧㄥˊ	⠑⠽⠂	14
老伯詩文對聯的造詣，在宜蘭很少人比得上。	得	ㄉㄜˊ	⠙⠮⠂	17
妖怪身長約五公尺，渾身剛毛。	長	ㄔㄤˊ	⠃⠭⠂	3
房子還是原樣，連門前的石條都還躺在那兒！	還	ㄏㄞˊ	⠗⠺⠂	14
現代人普遍壓力都很重。	重	ㄓㄨㄥˋ	⠁⠯⠐	9
想像力是不分年齡的。	分	ㄈㄣ	⠟⠥⠄	5
